Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,22,177,74.0,Norway,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1821.031,3149.8952
M,22,177,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1821.031,3149.8952
M,26,177,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1794.031,3111.7752
M,30,177,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1767.031,3073.6552
M,27,190,80.0,Italy,Summer,Athletics,Athletics Men's 110 metres Hurdles,11.663507799970843,22.1606648199446,2.0762322317883632,64.08999999999999,1934.8200000000002,3313.674
M,18,168,60.0,Nicaragua,Summer,Athletics,Athletics Men's 100 metres,12.653871072238422,21.258503401360546,1.6804664035218662,50.07599999999999,1610.504,2809.7960000000003
M,23,176,64.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles,11.739293764087153,20.66115702479339,1.786444369911719,53.84,1671.778,2899.5012
M,23,176,64.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,11.739293764087153,20.66115702479339,1.786444369911719,53.84,1671.778,2899.5012
M,27,176,64.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles,11.739293764087153,20.66115702479339,1.786444369911719,53.84,1644.778,2861.3812000000003
M,20,175,66.0,Bahrain,Summer,Athletics,Athletics Men's 400 metres,12.314868804664723,21.551020408163264,1.8024992038297483,54.387,1714.525,2969.7888000000003
M,20,160,65.0,Kuwait,Summer,Athletics,Athletics Men's Long Jump,15.869140624999996,25.390624999999996,1.6781913863486275,49.974999999999994,1625.73,2865.302
M,24,181,74.0,Pakistan,Summer,Athletics,Athletics Men's 400 metres Hurdles,12.479465797915962,22.587833094227893,1.9391293124149909,59.245000000000005,1827.5430000000001,3152.4192
M,22,178,78.0,Lebanon,Summer,Athletics,Athletics Men's 400 metres,13.830395379087589,24.61810377477591,1.9591199696209576,60.072,1881.034,3249.4784
M,22,181,74.0,Azerbaijan,Summer,Athletics,Athletics Men's 100 metres,12.479465797915962,22.587833094227893,1.9391293124149909,59.245000000000005,1841.0430000000001,3171.4791999999998
M,29,168,57.0,Tanzania,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.0211775186265,20.19557823129252,1.6442292377185213,48.855000000000004,1495.004,2634.3256
M,23,169,68.0,Kuwait,Summer,Athletics,Athletics Men's 100 metres,14.08798235024423,23.80869017191275,1.7799199565042194,53.599000000000004,1691.757,2955.9164
M,21,176,74.0,Libya,Summer,Athletics,Athletics Men's 400 metres,13.57355841472577,23.889462809917354,1.9001438864815843,57.91,1822.778,3154.0292
M,23,185,67.0,Comoros,Summer,Athletics,Athletics Men's 400 metres,10.581801670187351,19.576333089846603,1.888633191669658,57.464,1758.055,3018.7056000000002
M,24,184,70.0,Iraq,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,11.23684967535136,20.6758034026465,1.9165754125327785,58.41799999999999,1787.5520000000001,3074.42
M,23,169,60.0,Kuwait,Summer,Athletics,Athletics Men's 200 metres,12.430572661980204,21.007667798746546,1.6877124958126373,50.343,1581.757,2767.542
M,23,169,60.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.430572661980204,21.007667798746546,1.6877124958126373,50.343,1581.757,2767.542
M,17,176,68.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.4729996243426,21.952479338842977,1.8330710379400292,55.468,1767.278,3050.8684000000003
M,24,173,64.0,Malaysia,Summer,Athletics,Athletics Men's 400 metres Hurdles,12.36066011332794,21.383941996057334,1.7643154505802092,53.039,1650.019,2873.7832
M,21,172,66.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,12.970556051668407,22.30935640886966,1.780043519333253,53.586,1692.766,2944.0708
M,21,172,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.970556051668407,22.30935640886966,1.780043519333253,53.586,1692.766,2944.0708
