latitude	longitude	lap	altitude	timestamp	heart_rate	power	accumulated_power	cadence	speed	stance_time	stance_time_percent	stance_time_balance	step_length	vertical_ratio	vertical_oscillation
48.18309327587485	11.356860045343637	1	506.79999999999995	2022-04-27 15:44:53+00:00	123		65535	0	0.056						
48.18310006521642	11.356862224638462	1	506.4	2022-04-27 15:44:55+00:00	120		65535	0	0.0						
48.18314532749355	11.356881083920598	1	504.4	2022-04-27 15:44:57+00:00	116		65535	0	0.0						
48.18318891339004	11.356889382004738	1	504.0	2022-04-27 15:44:58+00:00	115		65535	0	0.97						
48.18327290005982	11.356872785836458	1	502.20000000000005	2022-04-27 15:45:00+00:00	112		65535	0	3.06						
48.183318665251136	11.35684504173696	1	501.6	2022-04-27 15:45:01+00:00	109		65535	0	3.63						
48.183402735739946	11.356764994561672	1	501.20000000000005	2022-04-27 15:45:02+00:00	111		65535	102	5.02	169.0	28.5	50.03	364.0	5.84	97.5
48.183474233374	11.35665393434465	1	500.4	2022-04-27 15:45:05+00:00	113		65535	101	5.412	167.0	28.0	49.87	1658.0	5.84	92.7
48.18352251313627	11.35651571676135	1	499.4	2022-04-27 15:45:07+00:00	120		65535	100	5.598	166.0	27.75	49.87	1665.0	5.65	93.7
48.18354128859937	11.356443297117949	1	498.79999999999995	2022-04-27 15:45:08+00:00	123		65535	100	5.589	168.0	28.0	50.0	1672.0	5.46	93.7
48.18354891613126	11.356366770341992	1	499.20000000000005	2022-04-27 15:45:09+00:00	125		65535	99	5.589	168.0	28.0	50.09	1701.0	5.34	93.7
48.183538941666484	11.356159569695592	1	500.6	2022-04-27 15:45:12+00:00	129		65535	98	5.412	169.0	27.75	50.09	1705.0	5.46	96.5
48.18352854810655	11.356094693765044	1	500.79999999999995	2022-04-27 15:45:13+00:00	133		65535	98	5.309	170.0	27.75	50.09	1694.0	5.46	95.5
48.18348152562976	11.355975922197104	1	501.0	2022-04-27 15:45:14+00:00	139		65535	97	5.113	168.0	27.25	50.09	1675.0	5.46	95.5
48.18348152562976	11.355975922197104	1	501.0	2022-04-27 15:45:15+00:00	143		65535	97	5.113	168.0	27.25	50.09	1672.0	5.46	95.5
48.1834118720144	11.355872489511967	1	501.4	2022-04-27 15:45:16+00:00	149		65535	97	5.057	170.0	27.5	50.09	1638.0	5.56	95.5
48.1834118720144	11.355872489511967	1	501.4	2022-04-27 15:45:17+00:00	152		65535	96	5.057	170.0	27.5	50.0	1634.0	5.56	95.5
48.18332763388753	11.355779198929667	1	502.0	2022-04-27 15:45:18+00:00	153		65535	96	5.151	171.0	27.5	49.87	1627.0	5.56	94.5
