lap	timestamp	position_lat	position_long	distance	altitude	accumulated_power	Form Power	power	heart_rate	cadence	speed	vertical_oscillation	stance_time_percent	stance_time	vertical_ratio	stance_time_balance	step_length
1			140198091	0.0					123.0		0.0						
1			140198270	0.0	439.0				123.0		0.0						
1			140198509	5.0	439.0				126.0		2.45						
1			140198795	10.0	439.0				129.0		4.903						
1			140199141	14.0	439.0	420.0		420.0	130.0	97.0	4.9						1100.0
1			140199559	18.0	439.0	845.0		425.0	132.0	83.0	4.9						870.0
1			140200024	22.5	439.0	1272.0	40.0	427.0	132.0	86.0	4.9	79.0		243.0	2.6	49.8	1240.0
1			140200573	27.0	439.0	1701.0	80.0	429.0	133.0	89.0	4.9	83.0		237.0	5.3	48.9	1620.0
1			140201193	32.0	439.0	2111.0	80.0	410.0	134.0	90.0	4.6	86.0		228.0	5.4	49.1	1610.0
1			140201909	37.0	439.0	2502.0	81.0	391.0	134.0	91.0	4.3	89.0		220.0	5.5	49.4	1600.0
1			140202649	39.0	439.0	2892.0	81.0	390.0	133.0	91.0	4.389	89.0		217.0	5.5	49.4	1600.0
1			140203436	41.0	438.0	3282.0	81.0	390.0	133.0	91.0	4.478	89.0		215.0	5.5	49.4	1600.0
1			140204235	48.5	438.0	3687.0	80.0	405.0	133.0	91.0	4.689	89.0		215.0	5.8	49.6	1520.0
1			140205047	56.0	438.0	4108.0	80.0	421.0	133.0	92.0	4.9	89.0		215.0	6.1	49.8	1440.0
1			140205834	61.0	438.0	4533.0	80.0	425.0	134.0	93.0	4.925	89.0		212.0	6.0	49.8	1470.0
1			140206586	66.0	438.0	4962.0	80.0	429.0	135.0	95.0	4.953	89.0		210.0	5.9	49.8	1510.0
1			140207266	70.0	438.0	5389.0	80.0	427.0	138.0	95.0	4.933	91.0		216.0	5.9	50.0	1520.0
1			140207886	74.0	438.0	5814.0	80.0	425.0	140.0	96.0	4.914	93.0		222.0	6.0	50.2	1530.0
1			140208435	76.0	438.0	6235.0	80.0	421.0	140.0	95.0	4.883	93.0		223.0	6.0	50.2	1530.0
1			140208924	78.0	438.0	6653.0	80.0	418.0	141.0	95.0	4.856	94.0		225.0	6.1	50.2	1540.0
1			140209365	82.0	438.0	7067.0	80.0	414.0	141.0	94.0	4.811	94.0		228.0	6.1	50.2	1530.0
1			140209747	86.0	438.0	7477.0	81.0	410.0	141.0	94.0	4.767	95.0		231.0	6.1	50.3	1520.0
1			140210093	92.0	438.0	7883.0	80.0	406.0	140.0	94.0	4.697	94.0		228.0	6.1	50.0	1510.0
1			140210368	98.0	438.0	8285.0	80.0	402.0	141.0	95.0	4.628	94.0		225.0	6.2	49.7	1500.0
1			140210570	102.0	438.0	8681.0	80.0	396.0	141.0	94.0	4.578	95.0		227.0	6.3	49.8	1490.0
1			140210702	106.0	438.0	9072.0	81.0	391.0	140.0	94.0	4.531	96.0		230.0	6.4	50.0	1490.0
1			140210761	110.0	438.0	9456.0	80.0	384.0	141.0	94.0	4.456	96.0		232.0	6.4	50.1	1480.0
1			140210785	114.0	438.0	9834.0	80.0	378.0	141.0	93.0	4.383	96.0		234.0	6.5	50.3	1470.0
1			140210773	115.5	438.0	10212.0	80.0	378.0	141.0	93.0	4.367	95.0		233.0	6.5	49.9	1450.0
1			140210749	117.0	438.0	10590.0	80.0	378.0	141.0	93.0	4.353	95.0		233.0	6.6	49.5	1430.0
1			140210725	122.5	438.0	10961.0	80.0	371.0	141.0	93.0	4.286	95.0		231.0	6.7	49.5	1400.0
1			140210714	128.0	438.0	11325.0	80.0	364.0	142.0	94.0	4.222	95.0		230.0	6.8	49.6	1380.0
1			140210714	132.0	438.0	11683.0	80.0	358.0	142.0	94.0	4.197	95.0		229.0	6.9	49.8	1360.0
1			140210737	136.0	438.0	12035.0	80.0	352.0	142.0	94.0	4.175	95.0		228.0	7.0	50.1	1350.0
1			140210773	140.0	438.0	12385.0	80.0	350.0	142.0	94.0	4.169	94.0		226.0	7.0	49.7	1340.0
1			140210833	144.0	438.0	12734.0	80.0	349.0	142.0	95.0	4.167	93.0		224.0	7.0	49.4	1340.0
1			140210904	146.0	438.0	13082.0	79.0	348.0	142.0	95.0	4.167	92.0		222.0	7.0	49.9	1320.0
1			140210988	148.0	438.0	13430.0	79.0	348.0	142.0	95.0	4.167	92.0		221.0	7.0	50.4	1300.0
1			140211059	152.0	438.0	13777.0	79.0	347.0	142.0	95.0	4.167	92.0		219.0	7.0	50.2	1300.0
