Sex,Age,Height,Weight,Team,Season,Sport,Event
M,22.0,177.0,74.0,Norway,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,22.0,177.0,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump
M,26.0,177.0,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump
M,30.0,177.0,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump
M,27.0,190.0,80.0,Italy,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,18.0,168.0,60.0,Nicaragua,Summer,Athletics,Athletics Men's 100 metres
M,23.0,176.0,64.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,23.0,176.0,64.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,176.0,64.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,20.0,175.0,66.0,Bahrain,Summer,Athletics,Athletics Men's 400 metres
M,20.0,160.0,65.0,Kuwait,Summer,Athletics,Athletics Men's Long Jump
M,24.0,181.0,74.0,Pakistan,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,22.0,178.0,78.0,Lebanon,Summer,Athletics,Athletics Men's 400 metres
M,22.0,181.0,74.0,Azerbaijan,Summer,Athletics,Athletics Men's 100 metres
M,29.0,168.0,57.0,Tanzania,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,169.0,68.0,Kuwait,Summer,Athletics,Athletics Men's 100 metres
M,21.0,176.0,74.0,Libya,Summer,Athletics,Athletics Men's 400 metres
M,23.0,185.0,67.0,Comoros,Summer,Athletics,Athletics Men's 400 metres
M,24.0,184.0,70.0,Iraq,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,169.0,60.0,Kuwait,Summer,Athletics,Athletics Men's 200 metres
M,23.0,169.0,60.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,17.0,176.0,68.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,173.0,64.0,Malaysia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,21.0,172.0,66.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,21.0,172.0,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,25.0,172.0,66.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,25.0,172.0,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,19.0,181.0,66.0,Kuwait,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,23.0,181.0,66.0,Kuwait,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,23.0,173.0,68.0,Japan,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,23.0,173.0,68.0,Japan,Summer,Athletics,Athletics Men's Long Jump
M,19.0,181.0,78.0,Sweden,Summer,Athletics,Athletics Men's Long Jump
M,24.0,173.0,66.0,Italy,Summer,Athletics,Athletics Men's 200 metres
M,19.0,169.0,62.0,Japan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,19.0,182.0,68.0,United States,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,25.0,168.0,59.0,Maldives,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,30.0,182.0,79.0,Syria,Summer,Athletics,Athletics Men's 400 metres Hurdles
