Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1821.031,3149.8952
Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1821.031,3149.8952
Erling Rudolf Aastad,M,26.0,177.0,74.0,Norway,NOR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1794.031,3111.7752
Erling Rudolf Aastad,M,30.0,177.0,74.0,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,,13.344795430597776,23.620287912158062,1.9079650833842317,58.17699999999999,1767.031,3073.6552
Emanuele Abate,M,27.0,190.0,80.0,Italy,ITA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,11.663507799970843,22.1606648199446,2.0762322317883632,64.08999999999999,1934.8200000000002,3313.674
Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0,Nicaragua,NCA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,12.653871072238422,21.258503401360546,1.6804664035218662,50.07599999999999,1610.504,2809.7960000000003
Gana Abba Kimet,M,26.0,,,Chad,CHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,,,,,,
Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,,11.739293764087153,20.66115702479339,1.786444369911719,53.84,1671.778,2899.5012
Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,11.739293764087153,20.66115702479339,1.786444369911719,53.84,1671.778,2899.5012
Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,176.0,64.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,,11.739293764087153,20.66115702479339,1.786444369911719,53.84,1644.778,2861.3812000000003
Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,12.314868804664723,21.551020408163264,1.8024992038297483,54.387,1714.525,2969.7888000000003
Essa Abbas Faleh Hashem,M,20.0,160.0,65.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,15.869140624999996,25.390624999999996,1.6781913863486275,49.974999999999994,1625.73,2865.302
Ghulam Abbas,M,24.0,181.0,74.0,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,12.479465797915962,22.587833094227893,1.9391293124149909,59.245000000000005,1827.5430000000001,3152.4192
Maher Abbas,M,22.0,178.0,78.0,Lebanon,LIB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,13.830395379087589,24.61810377477591,1.9591199696209576,60.072,1881.034,3249.4784
Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,12.479465797915962,22.587833094227893,1.9391293124149909,59.245000000000005,1841.0430000000001,3171.4791999999998
Omari Abdallah,M,29.0,168.0,57.0,Tanzania,TAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,12.0211775186265,20.19557823129252,1.6442292377185213,48.855000000000004,1495.004,2634.3256
Younis Abdallah Rabee,M,23.0,169.0,68.0,Kuwait,KUW,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,14.08798235024423,23.80869017191275,1.7799199565042194,53.599000000000004,1691.757,2955.9164
Mahmoud Atter Abdel Fattah,M,,,,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,,,,,,
Ibrahim Saad Abdel Galil,M,,176.0,73.0,Sudan,SUD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,13.390131949661908,23.56663223140496,1.8891881960671537,57.503,,
Ibrahim Saad Abdel Galil,M,,176.0,73.0,Sudan,SUD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,,13.390131949661908,23.56663223140496,1.8891881960671537,57.503,,
Moustafa Mounib Abdel Kader,M,,176.0,67.0,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,12.289573159278739,21.62964876033058,1.8215655281750303,55.06099999999999,,
Moustafa Abdel Naser,M,21.0,176.0,74.0,Libya,LBA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,13.57355841472577,23.889462809917354,1.9001438864815843,57.91,1822.778,3154.0292
Hassane Abdou,M,23.0,185.0,67.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,10.581801670187351,19.576333089846603,1.888633191669658,57.464,1758.055,3018.7056000000002
Brahim Daoud Abdoulaye,M,25.0,,71.0,Chad,CHA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,,,,,,
Mehdi Fahim Abdul Al-Sada,M,24.0,184.0,70.0,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,11.23684967535136,20.6758034026465,1.9165754125327785,58.41799999999999,1787.5520000000001,3074.42
S. Abdul Hamid,M,,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,
S. Abdul Hamid,M,,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,
Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,12.430572661980204,21.007667798746546,1.6877124958126373,50.343,1581.757,2767.542
Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,12.430572661980204,21.007667798746546,1.6877124958126373,50.343,1581.757,2767.542
Masoud Abdul Khamis Al-Rahman,M,17.0,176.0,68.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,12.4729996243426,21.952479338842977,1.8330710379400292,55.468,1767.278,3050.8684000000003
Zambrose Abdul Rahman,M,24.0,173.0,64.0,Malaysia,MAS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,,12.36066011332794,21.383941996057334,1.7643154505802092,53.039,1650.019,2873.7832
A. Abdul Razzak,M,,178.0,70.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,12.41189328892476,22.093170054286073,1.8710590432526395,56.816,,
"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,12.970556051668407,22.30935640886966,1.780043519333253,53.586,1692.766,2944.0708
"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,,12.970556051668407,22.30935640886966,1.780043519333253,53.586,1692.766,2944.0708
"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,12.970556051668407,22.30935640886966,1.780043519333253,53.586,1665.766,2905.9508
"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,12.970556051668407,22.30935640886966,1.780043519333253,53.586,1665.766,2905.9508
Mohamed Samy Abdullah,M,,165.0,65.0,United Arab Emirates,UAE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,14.46976653588224,23.875114784205696,1.7160516682260583,51.30999999999999,,
Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19.0,181.0,66.0,Kuwait,KUW,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,11.130334360303426,20.1459051921492,1.8470959796870097,55.989000000000004,1751.2930000000001,3011.6948
Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,23.0,181.0,66.0,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,,11.130334360303426,20.1459051921492,1.8470959796870097,55.989000000000004,1724.2930000000001,2973.5748
Naoki Abe,M,23.0,173.0,68.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,,13.133201370410937,22.720438370810918,1.8103645479923427,54.667,1711.769,2977.5004
