Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,
Erling Rudolf Aastad,M,22.0,177.0,74.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,
Erling Rudolf Aastad,M,26.0,177.0,74.0,Norway,NOR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,
Erling Rudolf Aastad,M,30.0,177.0,74.0,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,
Emanuele Abate,M,27.0,190.0,80.0,Italy,ITA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,
Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0,Nicaragua,NCA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,
Gana Abba Kimet,M,26.0,,,Chad,CHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,
Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,176.0,64.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,
Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,
Essa Abbas Faleh Hashem,M,20.0,160.0,65.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,
