Sex,Age,Height,Weight,Team,Season,Sport,Event,total_arm_cmprox,total_leg_cmprox,hat_cmprox,total_arm_cmdist,total_leg_cmdist,hat_cmdist,total_arm_rgcm,total_leg_rgcm,hat_rgcm,total_arm_rgprox,total_leg_rgprox,hat_rgprox,total_arm_rgdist,total_leg_rgdist,hat_rgdist
M,22,177,74.0,Norway,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,177,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,26,177,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,30,177,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,27,190,80.0,Italy,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,18,168,60.0,Nicaragua,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,176,64.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,23,176,64.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,176,64.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,20,175,66.0,Bahrain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,20,160,65.0,Kuwait,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,181,74.0,Pakistan,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,22,178,78.0,Lebanon,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,181,74.0,Azerbaijan,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,29,168,57.0,Tanzania,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,169,68.0,Kuwait,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,176,74.0,Libya,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,185,67.0,Comoros,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,24,184,70.0,Iraq,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,169,60.0,Kuwait,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,169,60.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,17,176,68.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,173,64.0,Malaysia,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,172,66.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,172,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,172,66.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,25,172,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,19,181,66.0,Kuwait,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,23,181,66.0,Kuwait,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,23,173,68.0,Japan,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,173,68.0,Japan,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,19,181,78.0,Sweden,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,173,66.0,Italy,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,19,169,62.0,Japan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,19,182,68.0,United States,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,168,59.0,Maldives,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,30,182,79.0,Syria,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,22,193,78.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,179,72.0,Costa Rica,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,179,72.0,Costa Rica,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,173,65.0,Panama,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,173,65.0,Panama,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,172,61.0,Sweden,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,20,176,68.0,Portugal,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,183,72.0,Portugal,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,25,183,72.0,Portugal,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,174,68.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,173,74.0,Bangladesh,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,18,172,63.0,Sudan,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,172,63.0,Sudan,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
