lap	timestamp	position_lat	position_long	distance	altitude	accumulated_power	heart_rate	cadence	speed	vertical_oscillation	stance_time_percent	stance_time	vertical_ratio	stance_time_balance	step_length
1			140427313	0.0	454.4	65535	107	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1			140427320	0.23	454.20000000000005	65535	107	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1			140429216	12.73	453.79999999999995	65535	114	90	1.502	88.7	38.75	260.0	18.75	47.37	486.0
1			140429294	13.58	453.6	65535	118	89	1.502	89.7	38.25	258.0	18.53	49.28	495.0
1			140429177	15.16	453.79999999999995	65535	120	89	1.67	89.7	38.25	257.0	18.06	50.31	501.0
1			140429033	16.81	453.4	65535	124	90	1.67	88.7	38.25	256.0	17.84	50.31	504.0
1			140428608	22.01	453.20000000000005	65535	130	90	1.829	91.7	37.5	251.0	17.37	50.09	533.0
1			140428402	24.69	453.0	65535	130	90	2.146	92.7	37.5	249.0	16.78	50.0	565.0
1			140427986	29.89	452.6	65535	137	90	2.725	91.7	37.25	248.0	15.31	50.0	672.0
1			140427756	32.38	452.6	65535	143	90	2.725	91.7	37.25	247.0	14.71	50.0	687.0
1			140427542	34.75	452.4	65535	148	91	2.725	91.7	37.5	249.0	14.25	50.0	694.0
1			140427369	36.86	452.4	65535	151	91	2.725	91.7	37.75	249.0	13.65	50.0	712.0
1			140426442	46.35	452.0	65535	147	89	2.603	96.5	36.75	246.0	12.96	50.0	743.0
1			140425792	53.59	451.79999999999995	65535	150	89	2.594	96.5	36.5	248.0	12.68	49.9	749.0
1			140425569	55.86	451.6	65535	155	88	2.575	97.5	36.25	247.0	12.68	49.81	757.0
1			140425333	58.47	451.4	65535	161	88	2.575	96.5	36.25	248.0	12.59	49.81	759.0
1			140425117	61.14	451.20000000000005	65535	160	88	2.575	96.5	36.5	250.0	12.59	49.81	759.0
1			140424709	66.35	451.0	65535	157	88	2.575	95.5	36.75	251.0	12.37	49.81	761.0
1			140423942	75.56	450.79999999999995	65535	160	88	2.538	94.5	37.0	252.0	12.37	49.81	756.0
1			140423499	80.29	450.79999999999995	65535	165	88	2.529	93.7	37.0	252.0	12.18	49.81	754.0
1			140423347	82.66	450.79999999999995	65535	168	88	2.519	92.7	37.5	253.0	12.18	49.81	750.0
1			140423123	87.33	451.0	65535	173	89	2.51	92.7	37.75	253.0	12.18	49.81	747.0
1			140423022	89.7	451.0	65535	177	89	2.501	92.7	37.75	253.0	12.18	49.9	744.0
1			140422440	102.13	450.79999999999995	65535	172	88	2.501	92.7	37.75	257.0	11.9	50.09	771.0
1			140421098	124.19	450.4	65535	172	87	2.426	93.7	36.75	251.0	12.18	50.09	760.0
1			140420194	135.35	450.6	65535	169	88	2.389	92.7	37.25	254.0	12.28	50.4	741.0
1			140419821	139.74	450.79999999999995	65535	176	88	2.389	91.7	37.5	255.0	12.18	50.4	740.0
1			140419648	142.32	450.79999999999995	65535	176	88	2.379	90.7	37.5	256.0	12.09	50.4	742.0
1			140419189	149.48	451.0	65535	173	87	2.379	90.7	37.75	259.0	11.9	50.4	752.0
1			140419009	151.75	451.0	65535	170	87	2.379	90.7	37.75	259.0	11.9	50.4	755.0
1			140418395	159.54	451.20000000000005	65535	167	87	2.379	91.7	37.25	256.0	11.71	50.4	779.0
1			140417354	176.7	452.79999999999995	65535	164	87	2.398	91.7	37.25	257.0	10.93	50.06	836.0
1			140418507	198.31	454.4	65535	164	86	2.389	91.7	37.0	258.0	10.93	49.84	822.0
1			140417615	218.96	454.79999999999995	65535	163	86	2.361	94.5	37.5	260.0	12.0	49.84	772.0
1			140416463	239.38	454.6	65535	165	86	2.342	91.7	37.5	261.0	11.71	49.84	780.0
1			140415916	252.0	454.20000000000005	65535	168	87	2.333	94.5	37.25	257.0	11.71	49.65	783.0
1			140414863	273.11	452.0	65535	169	87	2.295	92.7	37.0	252.0	12.18	50.03	748.0
1			140414153	284.87	445.20000000000005	65535	172	87	2.286	90.7	36.5	251.0	12.0	50.03	746.0
1			140413618	305.46	440.0	65535	170	87	2.295	97.5	37.0	254.0	12.18	50.12	778.0
1			140413778	310.14	439.79999999999995	65535	169	86	2.305	97.5	37.0	256.0	11.9	50.03	801.0
1			140416904	330.77	439.0	65535	166	87	2.314	95.5	36.75	252.0	11.81	50.03	794.0
1			140420206	351.49	438.0	65535	165	86	2.305	97.5	37.0	256.0	12.18	49.93	790.0
1			140423341	373.5	437.4	65535	167	86	2.323	97.5	37.25	256.0	11.81	49.9	816.0
1			140424848	384.15	437.20000000000005	65535	170	87	2.333	96.5	37.0	253.0	11.71	49.81	810.0
1			140426871	397.51	437.4	65535	173	87	2.351	92.7	37.25	257.0	11.03	49.71	836.0
1			140430095	418.35	437.4	65535	170	86	2.333	91.7	37.75	261.0	11.03	50.03	819.0
1			140432619	434.33	437.79999999999995	65535	173	87	2.333	89.7	37.75	260.0	10.81	50.12	821.0
1			140435885	455.09	436.79999999999995	65535	173	87	2.323	89.7	37.5	259.0	11.21	50.53	794.0
1			140437715	467.19	436.6	65535	170	86	2.333	94.5	37.25	260.0	11.21	50.62	827.0
1			140439051	475.85	436.4	65535	170	86	2.333	96.5	37.0	257.0	11.31	50.62	831.0
1			140442311	496.97	435.79999999999995	65535	169	86	2.342	97.5	37.0	256.0	11.5	50.62	832.0
1			140445751	519.13	435.4	65535	167	86	2.361	96.5	36.5	253.0	11.31	50.71	841.0
1			140447693	531.77	434.79999999999995	65535	170	87	2.361	98.5	36.25	250.0	11.59	50.43	833.0
1			140450645	550.91	435.0	65535	173	87	2.37	99.5	35.5	246.0	11.59	50.09	841.0
1			140453805	571.45	435.6	65535	173	87	2.361	97.5	35.5	246.0	11.81	50.09	816.0
1			140457158	593.24	437.20000000000005	65535	172	87	2.342	95.5	36.0	250.0	11.81	49.9	799.0
1			140458104	599.14	438.20000000000005	65535	169	86	2.333	96.5	35.75	250.0	11.81	50.03	797.0
1			140458756	603.18	438.79999999999995	65535	169	87	2.323	95.5	35.75	248.0	12.18	50.03	774.0
1			140460523	614.59	439.79999999999995	65535	172	86	2.305	97.5	36.5	254.0	12.37	49.68	774.0
1			140461972	624.64	440.4	65535	175	86	2.305	100.5	36.5	253.0	12.5	49.68	794.0
1			140462335	627.13	440.6	65535	175	86	2.314	100.5	36.5	255.0	12.28	49.68	808.0
1			140463845	637.16	440.79999999999995	65535	178	86	2.323	102.5	36.0	252.0	12.18	49.68	830.0
1			140465847	649.63	440.79999999999995	65535	175	86	2.333	103.5	35.75	250.0	12.18	49.4	837.0
